dataset,use MT structures,measurement type,num measurements,num structures,is single-point,is multi-point,correlation computation,HCNN_biopython_proteinnet_0p00 - Pearsonr,HCNN_biopython_proteinnet_0p00 - Pearsonr p-value,HCNN_biopython_proteinnet_0p00 - Spearmanr,HCNN_biopython_proteinnet_0p00 - Spearmanr p-value,HCNN_biopython_proteinnet_0p50 - Pearsonr,HCNN_biopython_proteinnet_0p50 - Pearsonr p-value,HCNN_biopython_proteinnet_0p50 - Spearmanr,HCNN_biopython_proteinnet_0p50 - Spearmanr p-value,HCNN_biopython_proteinnet_extra_mols_0p00 - Pearsonr,HCNN_biopython_proteinnet_extra_mols_0p00 - Pearsonr p-value,HCNN_biopython_proteinnet_extra_mols_0p00 - Spearmanr,HCNN_biopython_proteinnet_extra_mols_0p00 - Spearmanr p-value,HCNN_biopython_proteinnet_extra_mols_0p50 - Pearsonr,HCNN_biopython_proteinnet_extra_mols_0p50 - Pearsonr p-value,HCNN_biopython_proteinnet_extra_mols_0p50 - Spearmanr,HCNN_biopython_proteinnet_extra_mols_0p50 - Spearmanr p-value,HCNN_pyrosetta_proteinnet_extra_mols_0p00 - Pearsonr,HCNN_pyrosetta_proteinnet_extra_mols_0p00 - Pearsonr p-value,HCNN_pyrosetta_proteinnet_extra_mols_0p00 - Spearmanr,HCNN_pyrosetta_proteinnet_extra_mols_0p00 - Spearmanr p-value,HCNN_pyrosetta_proteinnet_extra_mols_0p50 - Pearsonr,HCNN_pyrosetta_proteinnet_extra_mols_0p50 - Pearsonr p-value,HCNN_pyrosetta_proteinnet_extra_mols_0p50 - Spearmanr,HCNN_pyrosetta_proteinnet_extra_mols_0p50 - Spearmanr p-value
ATLAS,False,-ddG binding,266.0,8.0,True,True,per structure,0.1798207206597632,0.13656092478364465,0.17890226278069365,0.007726830304961238,0.13037416231381702,0.014135606473797458,0.10791789841570527,0.0007040896604209634,0.15355555689557263,0.2806627441217634,0.14457731241178923,0.02571429056651812,0.16325897301774223,0.024364448341633153,0.15349025998350546,0.0009039003597716941,0.06330754581859668,0.08315538791827334,0.03937016763350575,0.0009887781179808014,0.06868278350315501,0.031224379894857376,0.09903091665961242,0.0002026342156149463
ATLAS,True,-ddG binding,266.0,8.0,True,True,per structure,0.24611927079792018,0.038924418732701804,0.24246093664578441,0.009348851642139226,0.2683250951379944,0.014826827882799168,0.2502951777628246,0.0213209912820853,0.2619667722174325,0.02355265847246208,0.22749051870707274,0.0023540544849323525,0.266962425839453,0.020118757485553414,0.25414179501694745,0.007232736778706519,0.2868887790919675,0.005795130263895152,0.26794263273841007,0.009492096416666016,0.280986964995823,0.00739480167420651,0.30274859091249584,0.004233820100650683
ATLAS,False,-ddG binding,180.0,7.0,True,False,per structure,0.18316697053015574,0.4288415737285376,0.22411950278267526,0.19392282971954997,0.12291690066611435,0.4244386807468102,0.157904415483725,0.2925112306355032,0.16720123366847464,0.572249717864791,0.19981929705501236,0.36744560108889546,0.16466516187795086,0.3445117724658588,0.22019762132450302,0.16001212920082059,0.10373386602054581,0.32440305379851503,0.11046992411422152,0.10687188474518335,0.09397671324797163,0.38133932101386614,0.17917879894687874,0.13520170190384231
ATLAS,True,-ddG binding,180.0,7.0,True,False,per structure,0.31500735546248626,0.024865746583575477,0.3535429482026554,0.009042119502486736,0.32243780604623895,0.004303099184475811,0.31756642318621736,0.008622173147865848,0.32335270462017,0.013986375536754588,0.3305540529028032,0.018155420857059436,0.3260154035325677,0.00420952314150608,0.3513193371302617,0.0027568874797430118,0.36169351214372675,0.001872523162738905,0.3762423992152825,0.0028192803049576303,0.3382989281877669,0.0017049352614800404,0.39949098838784247,0.0004122135629344748
ATLAS,False,-ddG binding,79.0,2.0,False,True,per structure,-0.009179047734486745,9.623934532418483e-05,0.038274402456894036,6.195868895422266e-05,0.037749561363281614,4.268641870076343e-08,0.04544266574701844,9.914164805596985e-09,-0.06459124619584014,8.191557456611199e-05,-0.0214405628037293,8.858148936642729e-05,-0.007494704997102863,7.898372113127689e-08,0.01910309037442015,2.866104379061987e-08,-0.1646433663781206,1.0692702769717808e-06,-0.13188234094089413,1.8981484244906243e-06,-0.007371797121863921,4.0794511359621544e-08,-0.006525637996364242,9.099220733701957e-09
ATLAS,True,-ddG binding,79.0,2.0,False,True,per structure,-0.2859532718408446,0.0703948524782885,-0.2505901881054382,0.13472351559756926,-0.13399176984204456,0.342050977932497,-0.044732828958364314,0.575219222996646,-0.3182740599974373,0.03203500941873105,-0.34452623528900816,0.017054075461168505,-0.1879403196050371,0.3108676173237419,-0.1483817272058973,0.4986210282549244,-0.21732620486121806,0.19058054788477302,-0.17935544874669218,0.34379303869635447,-0.08891235455788937,0.3150904078383789,-0.06914160734258742,0.7224302683946524
ATLAS,False,-ddG binding,372.0,39.0,True,True,overall,0.12148374763377537,0.01941093572747905,0.13306181244902604,0.010400009699123887,0.2318283903354209,6.613880652943157e-06,0.22309728289264144,1.4805938450445437e-05,0.13653738139219795,0.008543790774349044,0.1529161603653108,0.0031900035796278607,0.21335343065670104,3.506696669744468e-05,0.20492159973571444,7.168445482712e-05,0.1028267408786078,0.04749805160059795,0.10539754855044307,0.04218860979399619,0.19829039902316786,0.00011816053887039533,0.18377897289563885,0.0003665492341117512
ATLAS,True,-ddG binding,372.0,39.0,True,True,overall,0.03925578393072433,0.4515488791619414,0.02504078353543368,0.631145917281485,0.14174342209385069,0.006312988940614554,0.144782377496315,0.005266941927205502,0.04328015620724558,0.4064921230248341,0.021841832026968818,0.6753883248255552,0.1129012670773894,0.029908678256967042,0.10196416575568397,0.050019870911612634,0.09120206468248107,0.07895451700677994,0.059082794082057646,0.2556612787545782,0.12777532436509212,0.013653053340634609,0.12165601397198096,0.018912854245311774
ATLAS,False,-ddG binding,261.0,36.0,True,False,overall,0.10137369569073337,0.1035758273953884,0.09185970050133417,0.14039813114087632,0.13572680224969022,0.028972086682305994,0.12229091157194706,0.049304241044358134,0.1128954097931091,0.06969395229428113,0.10829706505835521,0.08193529904490991,0.14585539675408937,0.018847199415757417,0.13633000202386958,0.028259635172212146,0.08294621146154518,0.18157927504858357,0.07220211993645069,0.2450812233405262,0.12387641182156033,0.04556658288356129,0.11177768080562658,0.07141811291864283
ATLAS,True,-ddG binding,261.0,36.0,True,False,overall,0.13031773634258811,0.036076194369638735,0.18690996208891547,0.002526568193778802,0.17315469168699074,0.005200896066434448,0.20566616482877517,0.0008699004558403652,0.1437733206871482,0.02063160363306646,0.18996824509592117,0.0021372231290020705,0.1659718555346533,0.007434354484468644,0.20374623312511117,0.0009745080623674415,0.16567763688033874,0.007311367292489201,0.19012725425454105,0.002035212086411451,0.1628030543962025,0.008410183982423897,0.18438546855003674,0.002787759002495565
