dataset,use MT structures,is single-point,is multi-point,correlation computation,HCNN_biopython_proteinnet_0p00 - Pearsonr,HCNN_biopython_proteinnet_0p50 - Pearsonr,HCNN_biopython_proteinnet_extra_mols_0p00 - Pearsonr,HCNN_biopython_proteinnet_extra_mols_0p50 - Pearsonr,HCNN_pyrosetta_proteinnet_extra_mols_0p00 - Pearsonr,HCNN_pyrosetta_proteinnet_extra_mols_0p50 - Pearsonr,proteinmpnn_v_48_002 - Pearsonr,proteinmpnn_v_48_020 - Pearsonr,proteinmpnn_v_48_030 - Pearsonr,HCNN_biopython_proteinnet_0p00 - Spearmanr,HCNN_biopython_proteinnet_0p50 - Spearmanr,HCNN_biopython_proteinnet_extra_mols_0p00 - Spearmanr,HCNN_biopython_proteinnet_extra_mols_0p50 - Spearmanr,HCNN_pyrosetta_proteinnet_extra_mols_0p00 - Spearmanr,HCNN_pyrosetta_proteinnet_extra_mols_0p50 - Spearmanr,proteinmpnn_v_48_002 - Spearmanr,proteinmpnn_v_48_020 - Spearmanr,proteinmpnn_v_48_030 - Spearmanr,HCNN_biopython_proteinnet_0p00 - Pearsonr p-value,HCNN_biopython_proteinnet_0p50 - Pearsonr p-value,HCNN_biopython_proteinnet_extra_mols_0p00 - Pearsonr p-value,HCNN_biopython_proteinnet_extra_mols_0p50 - Pearsonr p-value,HCNN_pyrosetta_proteinnet_extra_mols_0p00 - Pearsonr p-value,HCNN_pyrosetta_proteinnet_extra_mols_0p50 - Pearsonr p-value,proteinmpnn_v_48_002 - Pearsonr p-value,proteinmpnn_v_48_020 - Pearsonr p-value,proteinmpnn_v_48_030 - Pearsonr p-value,HCNN_biopython_proteinnet_0p00 - Spearmanr p-value,HCNN_biopython_proteinnet_0p50 - Spearmanr p-value,HCNN_biopython_proteinnet_extra_mols_0p00 - Spearmanr p-value,HCNN_biopython_proteinnet_extra_mols_0p50 - Spearmanr p-value,HCNN_pyrosetta_proteinnet_extra_mols_0p00 - Spearmanr p-value,HCNN_pyrosetta_proteinnet_extra_mols_0p50 - Spearmanr p-value,proteinmpnn_v_48_002 - Spearmanr p-value,proteinmpnn_v_48_020 - Spearmanr p-value,proteinmpnn_v_48_030 - Spearmanr p-value,measurement type,num measurements,num structures
Protein G,False,True,False,per structure,0.4492009592343613,0.5487453919597447,0.4446693438046353,0.5692657125769498,0.4964112007121102,0.5885489408089579,0.4820116777986558,0.4416827578926684,0.4539893328898898,0.4663735637569635,0.5567152016673586,0.4650406910335646,0.5584019282100054,0.5198148657266275,0.5792036656923403,0.5486869344127938,0.4928914655910134,0.5101100197465241,3.015020269329776e-46,1.8826927308903056e-72,3.008741701575548e-45,5.0074994988051546e-79,1.3371346492030732e-57,1.214965952888291e-85,6.011970566627162e-54,1.3447561358460451e-44,2.5532142486088355e-47,3.578017599029272e-50,5.962592690284734e-75,7.35205976165147e-50,1.7288425019995055e-75,6.36929552837117e-64,2.2158351828306308e-82,1.96274484600603e-72,1.0844450479250529e-56,3.0581917486625084e-61,-ddG stability,907.0,1.0
ProTherm - Myoglobin,False,True,False,per structure,0.2749384805403435,0.5016671258615387,0.2911518156183063,0.5098971014783906,0.4958183174291338,0.6290488320946417,,,,0.2781653120208155,0.4845159292280364,0.325483924091229,0.4930910392088719,0.5649797850585704,0.610076866045866,,,,0.0177530496622323,5.280790955758199e-06,0.011845191821382,3.478217691694908e-06,7.058980256513914e-06,1.947866399511168e-09,,,,0.0164085960114718,1.2185487614830335e-05,0.0046585498972604,8.067279165490255e-06,1.572694384248978e-07,7.919535008816954e-09,,,,-ddG stability,74.0,1.0
ProTherm - Lysozyme,False,True,False,per structure,0.3861416978449224,0.3748814097606644,0.3982984258584935,0.4246689505934373,0.4980974170636926,0.5134308478988454,,,,0.4201653464865173,0.373843058793277,0.4298907585844073,0.416463127970286,0.5295711693786492,0.5219925579520968,,,,2.2034400315036165e-05,3.966397650936126e-05,1.1397110150130156e-05,2.4877748784148923e-06,1.7104237461670985e-08,5.173836558216008e-09,,,,3.256042454286151e-06,4.182816256396903e-05,1.8120466649001045e-06,4.050581352859083e-06,1.3763025544597599e-09,2.58520523297507e-09,,,,-ddG stability,114.0,1.0
ProTherm - Chymotrypsin inhib.,False,True,False,per structure,0.4406043381062552,0.5252969590670666,0.4717806196638719,0.515973134596177,0.4371453238398201,0.5775192239290086,,,,0.5188859570280092,0.5879295479038126,0.5589950247176728,0.5794208261086456,0.5104989622971507,0.603133258235949,,,,4.829951713180238e-05,6.681284541865622e-07,1.1386224593313566e-05,1.1342645930860464e-06,5.621835632397996e-05,2.5172751106826333e-08,,,,9.63030311067351e-07,1.2204026137179353e-08,8.59220095503679e-08,2.2096027236084944e-08,1.5364437506375684e-06,4.044620980489138e-09,,,,-ddG stability,79.0,1.0
ProTherm - RNAse H,False,True,False,per structure,0.3185979495866438,0.5348511866983033,0.3606826150608501,0.5816873596185715,0.4246115577447802,0.6505095631308893,,,,0.2711719588442676,0.497334814625722,0.3037851553100501,0.6056511140525854,0.3300360837027014,0.5920721410783196,,,,0.0047436368504556,5.417538279826774e-07,0.0012711607211021,2.891772428614732e-08,0.0001186904791034,1.5199365778890962e-10,,,,0.0170565504469848,4.19726197133702e-06,0.0072335610875498,5.357061307634769e-09,0.0033755284419756,1.4163384816447217e-08,,,,-ddG stability,77.0,1.0
S669,False,True,False,per structure,0.2880471595997151,0.4210503456720462,0.3060358260052212,0.3980990285394738,0.3735226147619416,0.4380801276163223,0.4221411965101591,0.4749726267756446,0.4741191199664653,0.3042895861786787,0.4024176048342672,0.3205723699322566,0.381215798056654,0.3579222718927713,0.4083098662697946,0.4461151923423172,0.5106341406704848,0.4962475617550791,2.369986207472661e-10,7.403326002176447e-19,5.440562798174599e-12,6.285504059424118e-18,1.7463696205607825e-13,6.061022980304693e-21,4.9035864592494094e-24,1.6943282628349565e-29,1.6125627022760525e-29,1.8893305337460002e-10,1.160977103184417e-19,1.0276931530136758e-11,4.133444855086053e-18,2.957351153502587e-13,1.7395401585232932e-19,4.8586948008734666e-29,2.605182726367835e-35,1.5081289818351805e-35,-ddG stability,452.0,15.0
S669,False,True,False,overall,0.1484294044214575,0.2880692690061103,0.1531856660075177,0.2866871265124869,0.2135208350844009,0.3079959669969205,0.3020632186589286,0.3431584786168107,0.3372931007158634,0.1733256631643514,0.3094680792641802,0.1808464328827251,0.309099038446247,0.223810725660446,0.3275254648172687,0.3139704789232747,0.3787422675969847,0.37864678257792,0.0001165287185264,2.9924938225836893e-14,6.942553900453353e-05,4.012986018234824e-14,2.5700006287650748e-08,4.013867996872042e-16,2.7616721106767162e-15,1.5432069369485295e-19,6.850823557432685e-19,6.517690638968603e-06,2.582910865104023e-16,2.504999284133638e-06,2.8130186292115757e-16,5.106685092719484e-09,3.8355733844473e-18,1.8866428464738774e-16,9.048449949290578e-24,9.30364132980398e-24,-ddG stability,655.0,94.0
Ssym_dir,False,True,False,per structure,0.2970273940794276,0.4490247062704128,0.3144893839056237,0.4517876130262526,0.3810883927270069,0.5268946205002792,0.3020592226997873,0.3990713746303246,0.3726795058464993,0.3039172104883863,0.4652151059670031,0.3210005705271849,0.4597904339791942,0.3625289182997804,0.4915250005291377,0.3503069829170022,0.4295254846617648,0.4249617659392322,2.8760446121862583e-16,4.9371242694229294e-24,2.1575794738939772e-18,1.932424468012768e-23,1.2189083200204977e-21,4.5346752265879975e-29,2.0028894821210597e-18,2.603332832045179e-24,1.794353357264779e-28,8.982160804545768e-17,6.394413383362506e-25,3.102949116185428e-18,1.4753197636625958e-24,3.66262546514394e-22,1.9984054822195949e-28,1.9208041438546933e-23,1.3296775668579442e-27,6.072817287914927e-35,-ddG stability,319.0,7.0
Ssym_dir,False,True,False,overall,0.4660315364001098,0.5656468445360489,0.4655187064748239,0.5557111058674815,0.5281475885818238,0.6132709979060098,0.5199254070727171,0.5606293640399074,0.5501050193433995,0.4827413703048774,0.5924739340103854,0.4944011596287107,0.5908428901387749,0.5312923113889728,0.6296851843232433,0.5736543134759312,0.611977101196062,0.6172047812121664,2.224090447096177e-20,3.701725617743264e-31,2.4773413715840063e-20,6.472160035983253e-30,1.118706686569988e-26,9.65788885918865e-38,9.084689386809588e-26,1.5891286411845663e-30,3.118882836309237e-29,5.987041170512767e-22,9.87475567862252e-35,4.2619049548570483e-23,1.664932893955858e-34,4.945508679153329e-27,2.797081464087104e-40,3.4350026220104995e-32,1.5089089014815964e-37,2.455841095157803e-38,-ddG stability,352.0,19.0
Ssym_inv,False,True,False,overall,0.1735212190966784,0.2802341677217778,0.2106803101223354,0.2966220915785045,0.1742085025725378,0.2954631268453558,0.3010576839174995,0.3922559523282369,0.4004495881090005,0.2056651090717179,0.347153898788129,0.2367073749403738,0.3648190452220988,0.2020416109963607,0.378782529755622,0.3601220186964544,0.4740845347713254,0.4914489867352084,0.0010800540628116,8.969099522217824e-08,6.792114771396683e-05,1.3989463146417092e-08,0.001048243803878,1.6787681733462484e-08,8.288414041007139e-09,2.1451172359330118e-14,5.459065608902161e-15,0.0001016909466474,2.0912078742920563e-11,7.149616787719194e-06,1.6033062820220009e-12,0.0001383373923755,2.031232393667789e-13,3.223722644912045e-12,3.992926877234013e-21,8.40112388171446e-23,-ddG stability,352.0,352.0
